#VERSION	1
#SKILL
Name         reserved~
Type         Spell
Info         0
Author	    Smaug~
Flags        0
Minpos       standing~
Slot         95
Rent		-2
Code         spell_null
Dammsg       ~
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acetum primus~
Type         Spell
Info         10125
Author	    Smaug~
Flags        6400
Target       1
Minpos       fighting~
Saves        5
Slot         302
Mana         70
Rounds       24
Rent		29000
Code         spell_smaug
Dammsg       acetum primus~
Wearoff      !Acetum Primus!~
Hitchar      &GYou invoke a stream of corrosive acid which burns $N!&z~
Hitvict      &GYou are corroded by a stream of acid from $n's hands!&z~
Hitroom      &G$n burns $N horribly with a stream of acid from $s hands!&z ~
Misschar     &GYour stream of acid misses $N by a hair!&z~
Missvict     &G$n very nearly misses you with $s stream of acid!&z~
Missroom     &G$n misses spraying $N with $s stream of acid!&z~
Diechar      &GYou reduce $N into a pile of sticky mess with your acid stream!&z~
Dievict      &GYou are reduced into a pile of sticky mess by the stream of acid!&z~
Dieroom      &G$N is reduced to a bubbling mess by $n's acid stream!&z~
Dice         ld6+(l/2) { 500~
Minlevel     60
End

#SKILL
Name         acid blast~
Type         Spell
Info         9101
Author	    Smaug~
Flags        4096
Target       1
Minpos       fighting~
Saves        5
Slot         70
Mana         18
Rounds       18
Rent		18000
Code         spell_smaug
Dammsg       acid blast~
Wearoff      !Acid Blast!~
Hitchar      &G$N is showered with your acid blast!&z~
Hitvict      &GYour skin is hit by $n's blast of acid!&z~
Hitroom      &G$N screams in pain as $n's blast of acid hits $M!&z~
Misschar     &GYour acid blast narrowly misses $N!&z~
Missvict     &GYou dodge nimbly out of the way of $n's acid blast!&z~
Missroom     &G$N dodges out of the way, narrowly avoiding $n's acid blast!&z~
Diechar      &GYour acid blast hits $N and corrodes a hole right through $M!&z~
Dievict      &G$n's acid blast corrodes a hole right through you!&z~
Dieroom      &GThe acid blast from $n dissolves a hole right through $N!&z~
Dice         ld4{200~
Minlevel     15
End

#SKILL
Name         acid breath~
Type         Spell
Info         10125
Author	    Smaug~
Flags        6400
Target       1
Minpos       fighting~
Saves        4
Slot         200
Mana         80
Rounds       48
Rent		-2
Code         spell_acid_breath
Dammsg       breath of acid~
Wearoff      !Acid Breath!~
